ticker,isin,shortname,fullname,industry,supersector,sector,subsector,listing_status,listing_date,trading_status,equity_type,equity_class,marketdata_currency,financial_currency,last_update,alsi_member,top40_member,irregular_flag
AGL,,ANGLO,Anglo American Plc,Basic Materials,Basic Resources,Mining,Genral Mining,CURRENT,,,,,,,2015-06-01,,,
AGI,ZAE000039467,AGI,AG Industries Limited,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,DELISTED,,,,,,,2013-08-26,,,
CGP1,,,Can Gallo Ltd 6.5% Pref,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1996-07-19,,,
BOCP,,,Boe Corporation Con Pref,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2000-03-17,,,
AGR,ZAE000022372,AMMGROUP,A M Moolla Group Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2001-03-02,,,
MAC.DEL,,,Mercury Alpha capital Ld,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1997-08-01,,,
BWR,ZAE000001251,BOLWEAR,Bolton Footwear Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2000-12-01,,,
SPP,,SPAR,The Spar Group Ltd,Consumer Services,Retail,Food & Drug Retailers,Food Retailers & Wholesalers,CURRENT,,,,,,,2015-06-01,,,
SPS,ZAE000017919,SPESCOM,Spescom Ltd,Technology,Technology,Software & Computer Services,Computer Services,DELISTED,,,,,,,2009-12-31,,,
SPT,0,,Supertrans Holdings Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1990-11-13,,,
SPU,ZAE000006995,SPUR,Spur Steak Ranches,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1999-11-26,,,
SPH,ZAE000006946,SPURHLD,Spur Holdings Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1999-11-26,,,
SPI,ZAE000016309,SPICER,Spicer Holdings Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2002-09-12,,,
SPK,0,,Sun Packaging Hldgs Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1992-08-03,,,
SPL,0,,Spl Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1995-03-03,,,
SPM,0,,Supreme Indust Hldgs Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1993-07-22,,,
SPO,ZAE000132601,SETPOINT,Set Point Group Limited,Industrials,Industrial Goods & Services,Support Services,Business Support Services,DELISTED,,,,,,,2010-05-24,,,
BWI,ZAE000098687,B&W,B&W Instrument & Elec Ld,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,DELISTED,,,,,,,2014-04-22,,,
SPE,ZAE000019162,SPEARHD,Spearhead Prop Hldgs Ltd,Financials,Financial Services,Real Estate,Real Estate Holdings & Development,DELISTED,,,,,,,2006-12-04,,,
SPG,,SUPRGRP,Super Group Ltd,Industrials,Industrial Goods & Services,Industrial Transportation,Transportation Services,CURRENT,,,,,,,2015-06-01,,,
BYX,ZAE000018701,BYNX,Bynx Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2000-10-13,,,
CYDO,,,Cycad Finacnial Hldg Opt,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2001-04-06,,,
MAS,,MASONITE,Masonite Africa Ltd,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,CURRENT,,,,,,,2015-06-01,,,
MAR,ZAE000012738,MARANDA,Maranda Mines Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1999-12-03,,,
SNL,0,,Sanland Property Trust,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1993-12-07,,,
JNC,ZAE000024352,JOHNNIC,Johnnic Holdings Ltd,Financials,Financial Services,Real Estate,Real Estate Holdings & Development,DELISTED,,,,,,,2008-09-23,,,
MAC,,,Macphail Hldgs Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2000-07-14,,,
SNU,,SENTULA,Sentula Mining Ltd,Basic Materials,Basic Resources,Mining,Genral Mining,CURRENT,,,,,,,2015-06-01,,,
SNR,ZAE000006821,SONDOR,Sondor Industries Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2001-09-28,,,
SNS,0,,Sun Inter Ciskei Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1995-12-01,,,
MAF,ZAE000010823,M-&-F,Mutual And Federal Ins,Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance,DELISTED,,,,,,,2010-02-05,,,
MAH,0,MATHASH,Math & Ashley Hldgs,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1997-04-04,,,
MAM,0,,Money & Management Ord,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1992-07-22,,,
EVH,0,EVHOLD,Everite Holdings Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1996-11-01,,,
BEL,,BELL,Bell Equipment Ltd,Industrials,Industrial Goods & Services,Industrial Engineering,Commercial Vehicles & Trucks,CURRENT,,,,,,,2015-06-01,,,
BEG,,BEIGE,Beige Holdings Limited,Consumer Goods,Personal & Household Goods,Personal Goods,Personal Products,CURRENT,,,,,,,2015-06-01,,,
BEE,ZAE000044111,BEGET,Beget Holdings Ltd,Technology,Technology,Software & Computer Services,Internet,DELISTED,,,,,,,2009-12-31,,,
BER,,,Beares Ltd Ord,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1990-04-09,,,
EVR,0,EVANDER,Evander Gold Mines Ltd,Basic Materials,Basic Resources,Mining,Gold Mining,DELISTED,,,,,,,1998-08-28,,,
EVT,0,EVERITE,Everite Group Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1996-11-01,,,
BET,0,BEATRIX,Beatrix Mines Ltd,Basic Materials,Basic Resources,Mining,Gold Mining,DELISTED,,,,,,,1998-01-30,,,
YBG,ZAE000008884,YABENG,Yabeng Inv Hldg Company,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2002-10-07,,,
VLH,0,,Valhold Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1992-03-11,,,
VLA,0,,Vlakfontein G M Co Ltd,Basic Materials,Basic Resources,Mining,Gold Mining,DELISTED,,,,,,,1994-11-30,,,
VLC,ZAE000015632,VALUECOM,Valuecom Holdings Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2001-06-29,,,
VLE,,VALUE,Value Group Ltd,Industrials,Industrial Goods & Services,Industrial Transportation,Transportation Services,CURRENT,,,,,,,2015-06-01,,,
VLY,ZAE000018156,VELOCITY,Velocity Holdings Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2002-09-09,,,
VLX,ZAE000015616,VOLTEX,Voltex Holdings Ltd Ord,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2002-03-25,,,
LST,ZAE000009882,LESRNET,Leisurenet Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2005-04-29,,,
LSR,ZAE000017166,LASER,Laser Group Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2003-03-17,,,
VLR,0,,Valard Ltd Ord,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1992-03-11,,,
VLT,ZAE000007746,VALAUTO,Vaalauto Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2004-12-28,,,
GRT,,GROWPNT,Growthpoint Prop Ltd,Financials,Real Estate,Real Estate Investment Trusts,Real Estate Holdings & Development,CURRENT,,,,,,,2015-06-01,,,
GRF,,GROUP 5,Group Five Ltd,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,CURRENT,,,,,,,2015-06-01,,,
WLP1,,,Wooltru Ltd 6.75% Pref,Financials,Financial Services,General Financial,Speciality Finance,DELISTED,,,,,,,2010-11-15,,,
AVHP,,,Anglovaal Hldgs Partpref,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1998-10-02,,,
HLM,,HULAMIN,Hulamin Ltd,Basic Materials,Basic Resources,Industrial Metals,Aluminium,CURRENT,,,,,,,2015-06-01,,,
HLH,ZAE000003299,HLH,Hunt Leuchars And Hepbrn,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2002-11-04,,,
HLC,0,,Helical Holdings Limited,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1990-05-30,,,
QHL,ZAE000113718,QLEISURE,Queensgate Hot & Leis Lt,Consumer Services,Travel & Leisure,Travel & Leisure,Hotels,DELISTED,,,,,,,2013-02-15,,,
CTY,,,City Investment Hldgs,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1995-08-07,,,
CTZ,,,Citizens Holdings Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1990-07-27,,,
CTC,0,CELTECH,Computermatic Hldgs Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1998-11-16,,,
CTL,ZAE000010609,COASTAL,Coastal Group Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2002-05-31,,,
CTH,ZAE000022323,C-TECH,Community Technologies,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2002-08-13,,,
CTK,,,Cartrack Holdings Ltd,Industrials,,Support Services,,CURRENT,,,,,,,2015-06-01,,,
ABSP,,ABSABANK-P,Absa Bank Ltd Pref,Unclassified,Banks,Unclassified,Banks,CURRENT,,,,,,,2015-06-01,,,
WHL,,WOOLIES,Woolworths Holdings Ltd,Consumer Services,Retail,General Retailers,Broadline Retailers,CURRENT,,,,,,,2015-06-01,,,
BAWP,,,Barworld Ltd 6%Pref,Unclassified,Industrial Goods & Services,Unclassified,Unclassified,CURRENT,,,,,,,2015-06-01,,,
SPA,,SPANJAARD,Spanjaard Limited,Basic Materials,Chemicals,Chemicals,Speciality Chemicals,CURRENT,,,,,,,2015-06-01,,,
BEGN,,,BEGN:XJSE:EQU,Unclassified,,Unclassified,,,,,,,,,2015-06-01,,,
CVN,ZAE000182440,CONVERGE,Convergenet Holdings Ltd,Technology,Technology,Software & Computer Services,Computer Services,DELISTED,,,,,,,2009-12-31,,,
RLO,,REUNERT,Reunert Ltd,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electrical Components & Equipment,CURRENT,,,,,,,2015-06-01,,,
ORX,0,ORYX,Oryx Gold Holdings Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1998-01-30,,,
RLE,0,,Rale Holdings Ltd Cons,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1994-09-14,,,
RLF,,ROLFES,Rolfes Technology Hldgs,Basic Materials,Automobiles & Parts,Chemicals,Auto Parts,CURRENT,,,,,,,2015-06-01,,,
ORS,0,ORION,Orion Selections Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1998-07-31,,,
ORL,,,Oakbay Res And Energy Lt,Basic Materials,,Mining,,CURRENT,,,,,,,2015-06-01,,,
EDT,,,E-Data Holdings Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2003-01-31,,,
ORE,,ORION,Orion Real Estate Ltd,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holdings & Development,CURRENT,,,,,,,2015-06-01,,,
BEGP,,,Beige Holdings Ltd Pref,Consumer Goods,Personal & Household Goods,Personal Goods,Personal Products,DELISTED,,,,,,,2010-10-25,,,
DPU,0,,Dpf Investments Ld Units,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1994-09-13,,,
COHN,,,COHN:XJSE:EQU,Unclassified,,Unclassified,,,,,,,,,2015-06-01,,,
CVH,,CAPEVINH,Capevin Holdings Ltd,Consumer Goods,Food & Beverages,Beverages,Farming & Fishing,CURRENT,,,,,,,2015-06-01,,,
GBLO,,,Genbel South Africa Opt,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1999-07-01,,,
DPF,0,,Dpf Investments Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1994-09-13,,,
DPN,0,,Drop-Inn Group Hldgs Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1992-08-10,,,
PNY,ZAE000018008,PENNY,Pennystocks Investments,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2001-08-10,,,
CFO,ZAE000105052,COUNTRY,Country Foods Ltd,Consumer Goods,Food & Beverage,Food Producers,Food Products,DELISTED,,,,,,,2009-09-11,,,
CFI,0,,Common Fund Inv Soc Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1993-11-05,,,
PNR,ZAE000005484,PIONEER,Pioneer Property Fund,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2002-04-08,,,
CFC,ZAE000001343,CFC,Commercial Fin Co Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2003-11-03,,,
PNC,,PINNACLE,Pinnacle Hldgs Ltd,Technology,Technology,Technology Hardware & Equipment,Computer Hardware,CURRENT,,,,,,,2015-06-01,,,
CFR,,RICHEMONT,Compagnie Fin Richemont,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories,CURRENT,,,,,,,2015-06-01,,,
PNG,,PINPOINT,Pinnacle Point Group Ltd,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holdings & Development,Suspended,,SUSPENDED,,,,,2015-06-01,,,
PRD,0,,Presmed Holdings Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1996-01-19,,,
PRG,0,PRIM-G-M,Primrose Gold Mines Ord,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1998-11-16,,,
SAH,,SACMH,South African Coal Minin,Basic Materials,Basic Resources,Mining,Coal,Suspended,,,,,,,2015-06-01,,,
PRA,ZAE000028577,PARAPROP,Paramount Prop Fund Ltd,Financials,Financial Services,Real Estate,Real Estate Holdings & Development,DELISTED,,,,,,,2007-04-17,,,
PMLP,,,Premier Grp 5.5% Cumpref,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2005-04-29,,,
PRC,0,,Persetech Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1994-09-07,,,
PRB,,,Perskor Beleggings Bpk,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2000-07-21,,,
PRM,ZAE000005641,PRIMA,Prima Property Trust,Financials,Financial Services,Real Estate,Real Estate Investment Trusts,DELISTED,,,,,,,2006-02-24,,,
SAB,,SABMILLER,Sabmiller Plc,Consumer Goods,Food & Beverages,Beverages,Distillers & Vintners,CURRENT,,,,,,,2015-06-01,,,
